,stabilizer.yaw,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,time,stateEstimate.x,stateEstimate.y,stateEstimate.z
128,90.2938003540039,0.1612287014722824,-0.005658184643834829,0.11388935148715973,24408,,,
129,,,,,24409,1.2755905389785767,3.2309515476226807,0.8324014544487
130,90.36711883544922,0.21429572999477386,0.0062769027426838875,0.12307415157556534,24508,,,
131,,,,,24509,1.2989383935928345,3.244126081466675,0.8526647686958313
132,90.43257141113281,0.21728482842445374,-0.014112384989857674,0.10461170971393585,24608,,,
133,,,,,24609,1.301383137702942,3.241736888885498,0.852404773235321
134,90.52335357666016,0.17025503516197205,-0.06279473751783371,0.07246685773134232,24708,,,
135,,,,,24709,1.2834241390228271,3.2230660915374756,0.8245846629142761
136,90.56022644042969,0.15511296689510345,-0.06805200129747391,0.06710241734981537,24808,,,
137,,,,,24809,1.2950847148895264,3.224797248840332,0.8319448232650757
138,90.58837890625,0.16099035739898682,-0.059249699115753174,0.08641465753316879,24908,,,
139,,,,,24909,1.3226828575134277,3.229935884475708,0.8503831624984741
140,90.5771484375,0.17151524126529694,-0.042344871908426285,0.09193775057792664,25008,,,
141,,,,,25009,1.3544883728027344,3.2381751537323,0.8729265332221985
142,90.52140808105469,0.14318782091140747,-0.05223861336708069,0.07644057273864746,25108,,,
143,,,,,25109,1.3541957139968872,3.2305550575256348,0.8682221174240112
144,90.39652252197266,0.11998648941516876,-0.06261882930994034,0.06041993200778961,25208,,,
145,,,,,25209,1.3619749546051025,3.2232677936553955,0.8712067604064941
146,90.26493835449219,0.09862833470106125,-0.07519510388374329,0.04834725707769394,25308,,,
147,,,,,25309,1.367419958114624,3.2117514610290527,0.865592896938324
148,90.19257354736328,0.09485797584056854,-0.07321154326200485,0.043984707444906235,25408,,,
149,,,,,25409,1.3816826343536377,3.2066450119018555,0.8696445226669312
150,90.1273193359375,0.11109421402215958,-0.059606991708278656,0.05782954394817352,25508,,,
151,,,,,25509,1.4112125635147095,3.206808567047119,0.883101224899292
152,89.9975814819336,0.10601628571748734,-0.0515202060341835,0.06319756805896759,25608,,,
153,,,,,25609,1.4220017194747925,3.2017462253570557,0.8918666839599609
154,89.95233154296875,0.08812818676233292,-0.05967596918344498,0.062176164239645004,25708,,,
155,,,,,25709,1.4261049032211304,3.186633348464966,0.8870034217834473
156,89.8882827758789,0.060960832983255386,-0.06402750313282013,0.051918208599090576,25808,,,
157,,,,,25809,1.4234328269958496,3.1743528842926025,0.8826843500137329
158,89.85232543945312,0.04069727659225464,-0.06788405030965805,0.049973711371421814,25908,,,
159,,,,,25909,1.4232357740402222,3.1592230796813965,0.8796309232711792
160,89.78729248046875,0.021458057686686516,-0.0617707334458828,0.04001341760158539,26008,,,
161,,,,,26009,1.4135584831237793,3.145827293395996,0.8765628337860107
162,89.68561553955078,0.02533607743680477,-0.04494848474860191,0.04685180261731148,26108,,,
163,,,,,26109,1.4178181886672974,3.1370015144348145,0.8769427537918091
164,89.64678955078125,0.034655533730983734,-0.025339674204587936,0.04115138202905655,26208,,,
165,,,,,26209,1.419992446899414,3.130214214324951,0.8769184350967407
166,89.56187438964844,0.053164612501859665,-0.015106014907360077,0.041394371539354324,26308,,,
167,,,,,26309,1.4312039613723755,3.118811845779419,0.8699214458465576
168,89.54940795898438,0.06256650388240814,-0.0009283411782234907,0.05290961265563965,26408,,,
169,,,,,26409,1.4367752075195312,3.114536762237549,0.8755060434341431
170,89.5201187133789,0.0620807409286499,0.012621560133993626,0.055516112595796585,26508,,,
171,,,,,26509,1.4410181045532227,3.1112215518951416,0.8778499364852905
172,89.57503509521484,0.04714776575565338,0.019291279837489128,0.06228818744421005,26608,,,
173,,,,,26609,1.4390382766723633,3.107194185256958,0.8814845681190491
174,89.55912780761719,0.030751679092645645,0.02306988462805748,0.06236913427710533,26708,,,
175,,,,,26709,1.43523371219635,3.1040475368499756,0.8859806060791016
176,89.53197479248047,0.020796965807676315,0.017806844785809517,0.061688512563705444,26808,,,
177,,,,,26809,1.4372901916503906,3.0970213413238525,0.8878605365753174
178,89.55485534667969,0.013725470751523972,0.019092420116066933,0.06339453160762787,26908,,,
179,,,,,26909,1.4338821172714233,3.0927743911743164,0.8906258344650269
180,89.53333282470703,0.005645523779094219,0.01896880939602852,0.04344590753316879,27008,,,
181,,,,,27009,1.425817847251892,3.086322784423828,0.8990412950515747
